299 556
291 561
281 566
276 567
275 572
274 577
268 582
267 587
266 592
257 597
252 602
251 607
250 612
244 617
243 622
242 627
233 632
228 637
227 644
226 649
220 654
219 660
218 664
209 669
204 674
203 684
202 689
196 694
195 700
194 704
185 709
180 714
179 724
178 729
172 734
171 741
170 744
161 749
156 754
155 764
154 769
148 774
147 784
146 788
137 789
136 794
132 797
131 807
130 817
124 827
123 837
122 847
113 852
112 857
108 862
107 870
106 880
100 890
99 903
98 918
96 933
93 938
91 944
90 946
89 953
88 964
87 968
84 974
83 991
82 1014
76 1027
75 1049
74 1062
73 1079
72 1080
69 1086
67 1094
66 1097
65 1101
64 1118
63 1126
60 1134
59 1165
58 1196
57 1227
54 1237
52 1242
51 1273
50 1336
49 1399
48 1414
47 1444
46 1459
45 1474
44 1504
43 1519
42 1534
41 1564
40 1627
39 1687
38 1749
37 1785
36 1815
35 1926
34 2037
33 2163
32 2289
31 2349
